YEAR,PLACE,MENTIONS,DLATITUDE,DLONGTITUDE
1622,Potomac River,2,38.0,-76.335
1622,Smith's Hundred,2,37.3105,-76.96445
1622,Somers Isles,141,32.32,-64.74
1622,Southampton Hundred,12,37.3105,-76.96445
1622,Warrascoyack,8,36.978889,-76.618611
1622,West Indies,23,19.0,-71.0
1623,Appomattox,3,37.320833,-77.275556
1623,Berkeley's Hundred,1,37.321667,-77.181667
1623,Blunt's Point,2,37.064028,-76.519417
1623,Bowiers Bay,1,39.059722,-75.401389
1623,Cape Comfort,1,37.000556,-76.311389
1623,Cape Henry,2,36.924806,-76.020111
1623,Charles City,13,37.35,-77.06
1623,Chesapeake Bay,4,37.8,-76.1
1623,Elizabeth City,11,37.014444,-76.346389
1623,Henrico City,16,37.374,-77.362
1623,James City,71,37.31,-76.77
1623,James River,2,36.941667,-76.443611
1623,Jamestown,11,37.209167,-76.7775
1623,Kecoughtan,6,37.014444,-76.346389
1623,Martin's Hundred,19,37.1785,-76.6115
1623,Mattaponi River,2,37.295556,-76.666667
1623,Newport News,8,37.070833,-76.484444
1623,Pamunkey River,3,37.5175,-76.791389
1623,Plymouth,1,41.958333,-70.667778
1623,Point Comfort,1,37.000556,-76.311389
1623,Potomac River,4,38.0,-76.335
1623,Rappahannock River,3,37.5875,-76.289167
1623,Roanoke,2,37.270556,-79.9425
1623,Somers Isles,129,32.32,-64.74
1623,Southampton Hundred,4,37.3105,-76.96445
1623,Tappahanna,1,37.922222,-76.863056
1623,Warrascoyack,20,36.978889,-76.618611
1623,West Indies,14,19.0,-71.0
1624,Bowiers Bay,2,39.059722,-75.401389
1624,Cape Comfort,4,37.000556,-76.311389
1624,Henrico City,34,37.374,-77.362
1624,James City,9,37.31,-76.77
1624,Martin's Hundred,4,37.1785,-76.6115
1624,Mattaponi River,1,37.295556,-76.666667
1624,Newport News,1,37.070833,-76.484444
1624,Plymouth,8,41.958333,-70.667778
1624,Point Comfort,3,37.000556,-76.311389
1624,Somers Isles,7,32.32,-64.74
1624,Southampton Hundred,1,37.3105,-76.96445
1624,West Indies,2,19.0,-71.0
1625,Appomattox,1,37.320833,-77.275556
1625,Blunt's Point,1,37.064028,-76.519417
1625,Charles City,2,37.35,-77.06
1625,Elizabeth City,2,37.014444,-76.346389
1625,James City,4,37.31,-76.77
1625,James River,2,36.941667,-76.443611
1625,Martin's Hundred,1,37.1785,-76.6115
1625,Newport News,2,37.070833,-76.484444
1625,Somers Isles,8,32.32,-64.74
1625,Southampton Hundred,2,37.3105,-76.96445
1625,Tappahanna,1,37.922222,-76.863056
1625,West Indies,4,19.0,-71.0
