entity_name,latitude,longitude
Corynth,37.913141698792,22.706678656614
South,33.3444933,35.3532897
Climates,39.1368298,23.6446378
Greece,39,22
Country,-29.7147901,-52.3921365
Comaundinge,NA,NA
Spain,40.22794966,-3.646063105
Acknowledgment,NA,NA
Mulberry Island,41.36225,-88.24284
Menis,36.545891,22.416806
Jacob,59.332864,18.0715115
Complayninge,NA,NA
Comfort,29.9722128,-98.9040367
Spaine,12.975155,77.603779
Sivell,37.192699,-83.824458
Indico,38.845357,-104.858903
Barkli,65.23443,12.44187
Easter,34.645622,-102.396868
Hayles,51.4667868,-0.2665917
Kicowtan,37.02987,-76.34522
Elizabeth City,36.3022029,-76.2232287
Boords,25.7991085,72.6191305
Silk,61.193171,-149.874393
Vines,59.5315758,9.8326816
Salt works,-0.1318788,29.8726668
Smiths Island,28.62,-81.67896
Iland,40.760132,-73.82733
Salt,41.9741587,2.7925862
King,43.930151197,-79.521625202
Colonia,50.938106999,6.957068
Pembroke,32.299980787664,-64.794510148703
quanta,-19.9324078,-43.9767675
Itmas,36.7806124,3.3115027
Lande,8.4371443,-3.4810299
Thesaurarius,NA,NA
Wye Milburie Willmson,NA,NA
Wye Et,8.619088938,39.64475013
sibi,11.8535875,-2.9740847
Ultima,-35.472984439,143.266481128
sequitur,51.01861,3.67276
Wye,-38.001531572,140.877143376
Chanseri,24.7166,78.137497
them||,56.0942496,9.5493148
St. James,10.34599,107.08426
Commodities,32.735422,-97.105312
Maᵗⁱᵉ.,NA,NA
Canada,60.10867,-113.64258
Dyana,12.4298522,-6.849662
the Sommer Islands,32.30444,-64.75167
Notwithstandinge,NA,NA
Poland,52.123790154,19.398768986
Persia,42.384130999999996,-78.936278
Italy,42.83333,12.83333
Crucyfixe,39.4408691,-8.2686181
Spye,44.952566,-93.227429
Smyths Iland,37.14403,-75.86965
Russia,61.989526183,96.805371534
Norway,62,10
Denmarke,49.3676691,35.4492545
Germany,51.110631049,10.392277932
English Woods,39.1403337,-84.5561236
Woods,38.5585284,-121.7874658
Soyle,37.898318,21.471981
Warwickshire,52.30064,-1.55955
Sussex,43.133718,-88.219853
Seates,45.794643,9.17795
Houses,36.061671,-94.159113
Vineyards,26.219408,-81.724022
Wormes,49.629827999,8.361704
Marseilles,43.29695,5.38107
Ligorno,20.13206,-74.48463
Workemen,NA,NA
Aduenture,33.3934728,-82.0190059
St. Sithes,38.0267279,23.7893608
Mines,40.212526,-92.813534
Countesse,45.0898703,9.7034444
Companie,59.6504,6.3543
Courts,41.57350273,-72.738305908
Commonaltie,52.6286839,-8.1669685
XX,-34.5829239,-58.4148521
XXVII,-26.8243,-54.96
Quorum,47.2123325,-1.5643389
Aequittance,NA,NA
Audite,51.321514,7.316492
Nouember,55.8628189,48.3337937
Easter Term,55.0368982,82.8873941
Husbands,48.8538514,2.3359322
Counseil,14.7372838,-17.464734
CV,15.083629282,-23.624671988
Indentures,43.49718,-112.023221
Treason,53.15845,-7.1303297
Crowne,28.6510437,77.183647
Midsomer,48.077747,2.542562
Verginia,39.4186559,-0.4027384
Tonne,17.0454662,104.8939258
london,51.50740836,-0.127698693
Threescore,52.63181,1.21725
Interupt,41.717297,-83.703955
Wittnesse,50.61194,2.36028
Rochester,44.019331,-92.458867
Chickahominy,37.608201,-77.413038
extrem,52.245,13.5188
parsnip,34.112155,-118.235607
turnep,26.4855673,80.3395509
Deane,53.566772422,-2.461382054
xvj,NA,NA
Straits,34.7290299,-76.5710019
Newfoundland,52.848032413,-60.404553074
Inned,-33.5023,-70.7618
England Giles Carter,53.491289704316,-2.959683264828
Wherin,37.8409151,23.7658144
huswifry,NA,NA
Marsellis,43.29695,5.38107
Io,-7.262,72.376
acq.,50.34778,2.65694
Garlik,37.6899988,26.9410688
Preestwood,51.423402242,-0.764163372
the County of Buck: Esquire,41.271333,-111.966053
Merchandize,-3.813042,102.305873
Northborne,50.761225021,-1.888896273
Juris,49.23527,6.98742
Jure,45.88389,3.89139
properlie,-22.7985212,-43.1834487
Neptune,40.213163,-74.035354
St. Michaells Islands,54.07447,-4.60589
fieri,40.72389,19.55611
Coppye,35.3294004,25.1416376
the Colony of Virginia,37.107941,-76.540975
